timestamp,latency_avg,latency_std,latency_min,latency_max,packet_loss,http_response_time,bytes_sent_rate,bytes_recv_rate,dns_time,wifi_signal,is_anomaly
2025-01-01T00:00:00Z,42.92,2.56,37.8,48.05,0.56,463.0,33867.0,446144.0,24.1,-52,0
2025-01-01T00:00:30Z,41.05,5.21,30.62,51.48,0.7,371.8,8954403.0,9172861.0,59.0,-51,1
2025-01-01T00:01:00Z,40.63,2.95,34.74,46.53,0.94,192.0,38198.0,51554.0,54.9,-54,0
2025-01-01T00:01:30Z,20.58,6.11,8.36,32.79,0,358.8,48658.0,189578.0,73.0,-45,0
2025-01-01T00:02:00Z,43.47,5.93,31.61,55.34,0,103.8,11472.0,145049.0,23.4,-58,0
2025-01-01T00:02:30Z,26.98,6.84,13.3,40.66,0.88,164.6,17828.0,335252.0,88.7,-44,0
2025-01-01T00:03:00Z,30.26,6.1,18.05,42.47,0.31,165.0,19035.0,494767.0,82.2,-48,0
2025-01-01T00:03:30Z,27.3,1.39,24.52,30.09,1.26,507.3,40272.0,200882.0,21.9,-47,0
2025-01-01T00:04:00Z,29.23,3.77,21.69,36.77,1.17,555.6,22997.0,132808.0,40.9,-48,0
2025-01-01T00:04:30Z,34.8,5.08,24.63,44.97,0,268.2,49867.0,69597.0,66.8,-41,0
2025-01-01T00:05:00Z,45.85,6.54,32.76,58.94,0.95,7826.5,3270.0,191119.0,1777.2,-49,1
2025-01-01T00:05:30Z,772.29,91.31,22.71,1046.22,0,218.7,32084.0,56220.0,60.7,-51,1
2025-01-01T00:06:00Z,28.73,7.39,13.95,43.5,0.5,532.7,14992.0,319655.0,78.9,-61,0
2025-01-01T00:06:30Z,48.07,7.46,33.16,62.98,1.55,557.6,29987.0,244559.0,26.7,-54,0
2025-01-01T00:07:00Z,39.21,1.41,36.4,42.02,0.13,536.6,47353.0,43284.0,66.0,-63,0
2025-01-01T00:07:30Z,29.92,5.62,18.69,41.16,0.45,572.4,8340.0,264073.0,78.7,-59,0
2025-01-01T00:08:00Z,35.51,5.99,23.52,47.49,0,287.5,33617.0,187024.0,109.5,-51,0
2025-01-01T00:08:30Z,36.44,5.12,26.2,46.67,0.95,199.7,11089.0,35961.0,81.3,-58,0
2025-01-01T00:09:00Z,43.78,4.6,34.58,52.98,0.59,224.8,24322.0,269847.0,91.0,-47,0
2025-01-01T00:09:30Z,35.5,3.85,27.8,43.2,1.07,129.0,32983.0,177472.0,58.2,-42,0
2025-01-01T00:10:00Z,26.78,1.42,23.93,29.63,0,458.7,40050.0,55080.0,35.1,-48,0
2025-01-01T00:10:30Z,27.87,2.75,22.38,33.37,0.69,560.1,22212.0,430744.0,72.8,-64,0
2025-01-01T00:11:00Z,33.33,1.65,30.03,36.64,0.48,471.9,11895.0,203504.0,65.5,-53,0
2025-01-01T00:11:30Z,35.34,3.73,27.87,42.8,0.53,561.8,39278.0,142982.0,88.1,-42,0
2025-01-01T00:12:00Z,20.05,2.08,15.88,24.21,0.23,234.3,48439.0,289801.0,71.9,-42,0
2025-01-01T00:12:30Z,45.82,7.44,30.95,60.69,0.68,356.2,2938.0,254160.0,104.4,-63,0
2025-01-01T00:13:00Z,31.68,1.84,28.01,35.36,0.17,542.9,12386.0,297462.0,80.0,-52,0
2025-01-01T00:13:30Z,27.0,2.83,21.35,32.65,0.33,428.3,15778.0,133174.0,28.7,-45,0
2025-01-01T00:14:00Z,28.26,1.51,25.24,31.27,1.26,318.3,49923.0,498050.0,22.7,-59,0
2025-01-01T00:14:30Z,41.24,1.48,38.27,44.2,0.84,207.0,14321.0,219373.0,72.0,-56,0
2025-01-01T00:15:00Z,49.52,1.05,47.41,51.63,0.44,504.9,15039.0,331863.0,113.6,-61,0
2025-01-01T00:15:30Z,47.67,2.09,43.5,51.85,0,226.5,10610.0,171769.0,87.2,-57,0
2025-01-01T00:16:00Z,34.85,1.36,32.13,37.56,1.59,409.8,41484.0,22521.0,50.0,-61,0
2025-01-01T00:16:30Z,33.77,4.86,24.04,43.49,1.32,302.4,583.0,38084.0,107.7,-61,0
2025-01-01T00:17:00Z,41.7,2.04,37.63,45.77,0,146.3,15482.0,449541.0,98.6,-64,0
2025-01-01T00:17:30Z,36.88,1.72,33.44,40.32,0.87,485.7,44218.0,203486.0,80.2,-61,0
2025-01-01T00:18:00Z,35.5,6.6,22.3,48.69,0.8,172.1,20673.0,90091.0,112.1,-40,0
